sentence_id,lang_a,lang_b,similarity
5000,English,Nepali,0.8988
5001,English,Nepali,0.8637
5002,English,Nepali,0.8937
5003,English,Nepali,0.8573
5004,English,Nepali,0.9164
5005,English,Nepali,0.9364
5006,English,Nepali,0.8796
5007,English,Nepali,0.943
5008,English,Nepali,0.8785
5009,English,Nepali,0.8651
5010,English,Nepali,0.8898
5011,English,Nepali,0.9251
5012,English,Nepali,0.9108
5013,English,Nepali,0.8996
5014,English,Nepali,0.8924
5015,English,Nepali,0.9046
5016,English,Nepali,0.9363
5017,English,Nepali,0.9658
5018,English,Nepali,0.8718
5019,English,Nepali,0.9272
5020,English,Nepali,0.941
5021,English,Nepali,0.9235
5022,English,Nepali,0.8697
5023,English,Nepali,0.9275
5024,English,Nepali,1.0
5025,English,Nepali,0.827
5026,English,Nepali,0.8899
5027,English,Nepali,0.8581
5028,English,Nepali,0.8888
5029,English,Nepali,0.9027
5030,English,Nepali,1.0
5031,English,Nepali,1.0
5032,English,Nepali,0.9213
5033,English,Nepali,0.9476
5034,English,Nepali,1.0
5035,English,Nepali,0.886
5036,English,Nepali,0.8904
5037,English,Nepali,0.9491
5038,English,Nepali,0.9092
5039,English,Nepali,0.8554
5040,English,Nepali,0.9405
5041,English,Nepali,0.8858
5042,English,Nepali,0.8706
5043,English,Nepali,1.0
5044,English,Nepali,0.8598
5045,English,Nepali,0.91
5046,English,Nepali,0.9578
5047,English,Nepali,0.9617
5048,English,Nepali,0.8606
5049,English,Nepali,0.9043
5050,English,Nepali,0.886
5051,English,Nepali,0.9458
5052,English,Nepali,0.9222
5053,English,Nepali,0.9297
5054,English,Nepali,0.8409
5055,English,Nepali,0.9071
5056,English,Nepali,0.8065
5057,English,Nepali,0.8944
5058,English,Nepali,0.9139
5059,English,Nepali,0.7393
5060,English,Nepali,0.9776
5061,English,Nepali,1.0
5062,English,Nepali,0.9286
5063,English,Nepali,0.8586
5064,English,Nepali,0.8962
5065,English,Nepali,0.9777
5066,English,Nepali,0.8875
5067,English,Nepali,0.9142
5068,English,Nepali,0.9555
5069,English,Nepali,0.8902
5070,English,Nepali,0.8951
5071,English,Nepali,0.9648
5072,English,Nepali,0.9043
5073,English,Nepali,0.8406
5074,English,Nepali,0.9607
5075,English,Nepali,0.9306
5076,English,Nepali,1.0
5077,English,Nepali,0.9387
5078,English,Nepali,0.8156
5079,English,Nepali,0.9051
5080,English,Nepali,0.924
5081,English,Nepali,0.9011
5082,English,Nepali,0.9575
5083,English,Nepali,0.8894
5084,English,Nepali,0.9453
5085,English,Nepali,0.8312
5086,English,Nepali,0.9484
5087,English,Nepali,0.8825
5088,English,Nepali,0.8682
5089,English,Nepali,0.835
5090,English,Nepali,0.8431
5091,English,Nepali,0.8428
5092,English,Nepali,0.9202
5093,English,Nepali,0.8657
5094,English,Nepali,0.9091
5095,English,Nepali,0.9363
5096,English,Nepali,0.9058
5097,English,Nepali,0.8575
5098,English,Nepali,0.8421
5099,English,Nepali,0.8362
5100,English,Nepali,0.9099
5101,English,Nepali,0.9014
5102,English,Nepali,0.9001
5103,English,Nepali,0.8894
5104,English,Nepali,0.8651
5105,English,Nepali,0.9256
5106,English,Nepali,0.885
5107,English,Nepali,0.9231
5108,English,Nepali,0.851
5109,English,Nepali,0.8967
5110,English,Nepali,0.8178
5111,English,Nepali,0.8538
5112,English,Nepali,0.9368
5113,English,Nepali,0.9545
5114,English,Nepali,0.8515
5115,English,Nepali,0.8521
