sentence_id,noise_type,similarity_to_clean
1,char_noise,0.9524
1,word_shuffle,0.9524
1,code_switch,0.9317
2,char_noise,0.9779
2,word_shuffle,0.9675
2,code_switch,0.9635
3,char_noise,0.9692
3,word_shuffle,0.9817
3,code_switch,0.9799
4,char_noise,0.9601
4,word_shuffle,0.9629
4,code_switch,0.9196
5,char_noise,0.9425
5,word_shuffle,0.9743
5,code_switch,0.9495
6,char_noise,0.9641
6,word_shuffle,0.9893
6,code_switch,1.0
7,char_noise,0.957
7,word_shuffle,0.9721
7,code_switch,0.9372
8,char_noise,0.9571
8,word_shuffle,0.9828
8,code_switch,0.9743
9,char_noise,0.9782
9,word_shuffle,0.9747
9,code_switch,0.9601
10,char_noise,1.0
10,word_shuffle,0.9584
10,code_switch,1.0
11,char_noise,0.9751
11,word_shuffle,0.9894
11,code_switch,0.9678
12,char_noise,0.948
12,word_shuffle,0.9715
12,code_switch,0.8833
13,char_noise,0.9624
13,word_shuffle,0.9701
13,code_switch,0.8753
14,char_noise,0.9758
14,word_shuffle,0.9757
14,code_switch,0.9638
15,char_noise,0.9859
15,word_shuffle,0.9779
15,code_switch,0.9344
16,char_noise,0.9737
16,word_shuffle,0.9748
16,code_switch,0.9457
17,char_noise,0.9577
17,word_shuffle,0.9898
17,code_switch,0.9828
18,char_noise,0.9644
18,word_shuffle,0.9599
18,code_switch,0.972
19,char_noise,0.9432
19,word_shuffle,0.9767
19,code_switch,0.983
20,char_noise,1.0
20,word_shuffle,0.9732
20,code_switch,0.9791
21,char_noise,0.9469
21,word_shuffle,0.9734
21,code_switch,0.9081
22,char_noise,0.9635
22,word_shuffle,0.9718
22,code_switch,0.94
23,char_noise,0.948
23,word_shuffle,0.9833
23,code_switch,0.971
24,char_noise,0.9827
24,word_shuffle,0.9657
24,code_switch,0.9273
25,char_noise,0.968
25,word_shuffle,0.9838
25,code_switch,0.9588
26,char_noise,0.9847
26,word_shuffle,0.9877
26,code_switch,0.9392
27,char_noise,1.0
27,word_shuffle,0.9877
27,code_switch,0.9814
28,char_noise,1.0
28,word_shuffle,0.9828
28,code_switch,0.8445
29,char_noise,0.9679
29,word_shuffle,0.9846
29,code_switch,0.9259
30,char_noise,0.9562
30,word_shuffle,0.9638
30,code_switch,0.9296
31,char_noise,0.9719
31,word_shuffle,0.9785
31,code_switch,0.9589
32,char_noise,0.9957
32,word_shuffle,0.9782
32,code_switch,0.905
33,char_noise,0.967
33,word_shuffle,0.9672
33,code_switch,0.9417
34,char_noise,0.9939
34,word_shuffle,0.9752
34,code_switch,0.937
35,char_noise,0.9732
35,word_shuffle,0.953
35,code_switch,0.9509
36,char_noise,0.9772
36,word_shuffle,0.9919
36,code_switch,0.9639
37,char_noise,0.9704
37,word_shuffle,0.9514
37,code_switch,0.9597
38,char_noise,1.0
38,word_shuffle,0.9625
38,code_switch,0.9042
39,char_noise,0.9811
39,word_shuffle,0.982
39,code_switch,0.9487
40,char_noise,0.9325
40,word_shuffle,0.9639
40,code_switch,0.901
41,char_noise,0.9908
41,word_shuffle,0.9478
41,code_switch,0.9687
42,char_noise,0.9048
42,word_shuffle,0.9675
42,code_switch,0.9364
43,char_noise,0.945
43,word_shuffle,1.0
43,code_switch,0.9487
44,char_noise,0.9767
44,word_shuffle,0.9792
44,code_switch,0.9686
45,char_noise,0.9486
45,word_shuffle,0.9828
45,code_switch,0.9679
46,char_noise,0.9514
46,word_shuffle,0.9697
46,code_switch,0.9437
47,char_noise,0.9605
47,word_shuffle,0.9861
47,code_switch,0.9644
48,char_noise,0.9712
48,word_shuffle,0.9629
48,code_switch,0.9601
49,char_noise,0.9987
49,word_shuffle,0.9806
49,code_switch,0.9556
50,char_noise,0.8972
50,word_shuffle,0.9572
50,code_switch,0.9472
51,char_noise,0.9621
51,word_shuffle,0.9683
51,code_switch,0.9458
52,char_noise,0.9847
52,word_shuffle,0.9565
52,code_switch,0.9577
53,char_noise,0.9712
53,word_shuffle,0.9456
53,code_switch,0.9273
54,char_noise,0.9793
54,word_shuffle,0.9709
54,code_switch,0.9606
55,char_noise,0.9664
55,word_shuffle,0.9766
55,code_switch,0.8989
56,char_noise,0.9721
56,word_shuffle,0.9754
56,code_switch,0.9773
57,char_noise,0.9567
57,word_shuffle,0.9826
57,code_switch,0.9734
58,char_noise,0.9676
58,word_shuffle,0.9717
58,code_switch,0.9364
59,char_noise,0.9831
59,word_shuffle,0.952
59,code_switch,0.9201
60,char_noise,0.9977
60,word_shuffle,0.9677
60,code_switch,0.952
61,char_noise,0.92
61,word_shuffle,0.9516
61,code_switch,0.9076
62,char_noise,0.9905
62,word_shuffle,0.9859
62,code_switch,0.9556
63,char_noise,0.9537
63,word_shuffle,0.9946
63,code_switch,0.9881
64,char_noise,0.9784
64,word_shuffle,1.0
64,code_switch,0.9166
65,char_noise,0.9418
65,word_shuffle,0.9521
65,code_switch,0.9193
66,char_noise,0.9182
66,word_shuffle,0.9794
66,code_switch,0.9459
67,char_noise,0.9681
67,word_shuffle,0.9707
67,code_switch,0.9435
68,char_noise,0.9598
68,word_shuffle,0.9952
68,code_switch,1.0
69,char_noise,0.9862
69,word_shuffle,0.9803
69,code_switch,0.9567
70,char_noise,0.9624
70,word_shuffle,0.9798
70,code_switch,0.9821
71,char_noise,1.0
71,word_shuffle,1.0
71,code_switch,0.9317
72,char_noise,1.0
72,word_shuffle,1.0
72,code_switch,1.0
73,char_noise,0.9623
73,word_shuffle,0.992
73,code_switch,0.9849
74,char_noise,0.8989
74,word_shuffle,0.9809
74,code_switch,0.9464
75,char_noise,0.9946
75,word_shuffle,0.9742
75,code_switch,0.939
76,char_noise,0.9618
76,word_shuffle,0.9778
76,code_switch,0.9596
77,char_noise,0.9703
77,word_shuffle,0.9509
77,code_switch,0.944
78,char_noise,0.9653
78,word_shuffle,1.0
78,code_switch,1.0
79,char_noise,0.9651
79,word_shuffle,0.9708
79,code_switch,0.9731
80,char_noise,0.9085
80,word_shuffle,0.9674
80,code_switch,0.9634
81,char_noise,0.9526
81,word_shuffle,0.9841
81,code_switch,0.9
82,char_noise,0.9952
82,word_shuffle,0.9745
82,code_switch,0.9197
83,char_noise,1.0
83,word_shuffle,0.9606
83,code_switch,0.8971
84,char_noise,0.9891
84,word_shuffle,0.9829
84,code_switch,0.9733
85,char_noise,0.9667
85,word_shuffle,0.9514
85,code_switch,0.9087
86,char_noise,0.9652
86,word_shuffle,0.9739
86,code_switch,0.9448
87,char_noise,0.9454
87,word_shuffle,0.9695
87,code_switch,0.9291
88,char_noise,0.9314
88,word_shuffle,0.9694
88,code_switch,0.9408
89,char_noise,0.9683
89,word_shuffle,0.955
89,code_switch,0.968
90,char_noise,0.9865
90,word_shuffle,0.9932
90,code_switch,0.9606
91,char_noise,0.9164
91,word_shuffle,0.9846
91,code_switch,0.9591
92,char_noise,0.9544
92,word_shuffle,0.9611
92,code_switch,0.9264
93,char_noise,0.9389
93,word_shuffle,0.9727
93,code_switch,0.9243
94,char_noise,0.929
