sentence_id,lang,similarity
1,Chinese,0.8492
2,Chinese,0.8675
3,Chinese,0.85
4,Chinese,0.9271
5,Chinese,0.8433
6,Chinese,0.9214
7,Chinese,0.8682
8,Chinese,0.89
9,Chinese,0.8607
10,Chinese,0.8724
11,Chinese,0.8721
12,Chinese,0.8467
13,Chinese,0.9343
14,Chinese,0.9036
15,Chinese,0.9238
16,Chinese,0.9027
17,Chinese,0.9231
18,Chinese,0.9985
19,Chinese,0.8397
20,Chinese,0.8799
21,Chinese,0.8962
22,Chinese,0.8547
23,Chinese,0.8658
24,Chinese,0.8756
25,Chinese,1.0
26,Chinese,0.8561
27,Chinese,0.9557
28,Chinese,0.8508
29,Chinese,0.9089
30,Chinese,1.0
31,Chinese,0.8459
32,Chinese,0.8966
33,Chinese,0.9312
34,Chinese,0.8699
35,Chinese,0.9341
36,Chinese,0.9058
37,Chinese,0.8925
38,Chinese,0.8794
39,Chinese,0.886
40,Chinese,0.8879
41,Chinese,0.9074
42,Chinese,0.8771
43,Chinese,0.8433
44,Chinese,0.9114
45,Chinese,0.8523
46,Chinese,0.889
47,Chinese,0.8438
48,Chinese,0.8224
49,Chinese,0.8937
50,Chinese,0.9411
51,Chinese,0.8468
52,Chinese,0.8079
53,Chinese,0.9194
54,Chinese,0.858
55,Chinese,0.8902
56,Chinese,0.8989
57,Chinese,0.8663
58,Chinese,0.8441
59,Chinese,0.9555
60,Chinese,0.8349
61,Chinese,0.7803
62,Chinese,0.9242
63,Chinese,0.7871
64,Chinese,0.8466
65,Chinese,0.8849
66,Chinese,0.8527
67,Chinese,0.8913
68,Chinese,0.8685
69,Chinese,0.8892
70,Chinese,0.8176
71,Chinese,0.7975
72,Chinese,0.8718
73,Chinese,0.824
74,Chinese,0.8566
75,Chinese,0.8467
76,Chinese,0.8433
77,Chinese,0.8383
78,Chinese,0.8808
79,Chinese,0.9008
80,Chinese,0.8577
81,Chinese,0.9001
82,Chinese,0.9064
83,Chinese,0.837
84,Chinese,0.9018
85,Chinese,0.8602
86,Chinese,0.8903
87,Chinese,0.8753
88,Chinese,0.892
89,Chinese,0.8686
90,Chinese,0.8017
91,Chinese,0.8925
92,Chinese,0.8726
93,Chinese,0.8635
94,Chinese,0.9173
95,Chinese,0.8696
96,Chinese,0.9031
97,Chinese,0.8699
98,Chinese,0.8808
99,Chinese,0.9674
100,Chinese,0.9257
101,Chinese,0.8951
102,Chinese,0.8393
103,Chinese,0.9238
104,Chinese,0.8734
105,Chinese,0.8678
106,Chinese,0.9464
107,Chinese,0.9251
108,Chinese,0.9613
109,Chinese,0.8718
110,Chinese,0.8907
111,Chinese,0.8656
112,Chinese,0.8714
113,Chinese,0.8632
114,Chinese,0.8985
115,Chinese,0.8782
116,Chinese,0.8813
117,Chinese,0.8116
118,Chinese,0.9103
119,Chinese,0.8638
120,Chinese,0.8845
121,Chinese,0.8149
122,Chinese,0.8581
123,Chinese,0.8295
124,Chinese,0.8582
125,Chinese,0.852
126,Chinese,0.8785
127,Chinese,0.9017
128,Chinese,0.8805
129,Chinese,0.8001
130,Chinese,0.9019
131,Chinese,0.8709
132,Chinese,0.8739
133,Chinese,0.9092
134,Chinese,0.8313
135,Chinese,0.8886
136,Chinese,0.966
137,Chinese,0.8606
138,Chinese,0.7885
139,Chinese,0.8721
140,Chinese,0.8804
141,Chinese,0.8348
142,Chinese,0.8662
143,Chinese,0.8615
144,Chinese,0.8596
145,Chinese,0.9311
146,Chinese,0.8994
147,Chinese,0.8913
148,Chinese,0.8499
149,Chinese,0.8352
150,Chinese,0.8473
151,Chinese,0.9121
152,Chinese,0.8661
153,Chinese,0.9427
154,Chinese,0.8702
155,Chinese,0.8885
156,Chinese,0.8491
157,Chinese,0.8222
158,Chinese,0.9024
159,Chinese,0.919
160,Chinese,0.8726
161,Chinese,0.9246
162,Chinese,0.8614
163,Chinese,0.9098
164,Chinese,0.8308
165,Chinese,0.8425
166,Chinese,0.8802
167,Chinese,0.8544
168,Chinese,0.8364
169,Chinese,0.9381
170,Chinese,0.8972
171,Chinese,0.8466
172,Chinese,0.872
173,Chinese,0.8734
174,Chinese,0.8951
175,Chinese,0.9148
176,Chinese,0.8615
177,Chinese,0.8751
178,Chinese,0.88
179,Chinese,0.8878
180,Chinese,0.843
181,Chinese,0.7876
182,Chinese,0.9525
183,Chinese,0.8949
184,Chinese,0.7889
185,Chinese,0.9198
186,Chinese,0.8891
187,Chinese,0.8228
188,Chinese,0.89
189,Chinese,0.9193
190,Chinese,0.865
191,Chinese,0.8584
192,Chinese,0.8994
193,Chinese,0.905
194,Chinese,0.878
195,Chinese,0.8595
196,Chinese,0.8454
197,Chinese,0.9305
198,Chinese,0.8772
199,Chinese,0.8518
200,Chinese,0.8792
201,Chinese,0.8489
202,Chinese,0.9391
203,Chinese,0.8855
204,Chinese,0.8693
205,Chinese,0.8238
206,Chinese,0.8511
207,Chinese,0.8746
208,Chinese,0.8967
209,Chinese,0.9418
210,Chinese,0.8699
211,Chinese,0.89
212,Chinese,0.9279
213,Chinese,0.8636
214,Chinese,0.8356
215,Chinese,0.9098
216,Chinese,0.8829
217,Chinese,0.8993
218,Chinese,0.9005
219,Chinese,0.8451
220,Chinese,0.8844
221,Chinese,0.928
222,Chinese,0.8969
223,Chinese,0.9111
224,Chinese,0.8458
225,Chinese,0.8436
226,Chinese,0.8689
227,Chinese,0.8648
228,Chinese,0.8805
229,Chinese,0.9193
230,Chinese,0.8519
231,Chinese,0.8571
232,Chinese,0.8557
233,Chinese,0.872
234,Chinese,0.8745
235,Chinese,0.8421
236,Chinese,0.9048
237,Chinese,0.8744
238,Chinese,0.8928
239,Chinese,0.8104
240,Chinese,0.858
241,Chinese,0.8516
242,Chinese,0.8703
243,Chinese,0.8842
244,Chinese,0.9076
245,Chinese,0.8614
246,Chinese,0.9103
247,Chinese,0.9259
248,Chinese,0.8857
249,Chinese,0.8982
250,Chinese,0.9175
251,Chinese,0.8595
252,Chinese,0.8321
253,Chinese,0.8977
254,Chinese,0.9118
255,Chinese,0.8368
256,Chinese,0.8941
257,Chinese,0.8845
258,Chinese,0.8547
259,Chinese,0.8181
260,Chinese,0.8775
261,Chinese,0.8583
262,Chinese,0.9466
263,Chinese,0.8619
264,Chinese,0.8902
265,Chinese,0.9025
266,Chinese,0.7885
267,Chinese,0.8173
268,Chinese,0.9177
269,Chinese,0.8587
270,Chinese,0.8835
271,Chinese,0.8442
272,Chinese,0.8634
273,Chinese,0.8583
274,Chinese,0.9016
275,Chinese,0.8708
276,Chinese,0.9031
277,Chinese,0.8753
278,Chinese,0.8826
279,Chinese,0.8964
280,Chinese,0.9018
281,Chinese,0.8969
282,Chinese,0.9336
283,Chinese,0.8973
284,Chinese,0.8982
285,Chinese,0.8408
286,Chinese,0.7972
287,Chinese,0.8176
288,Chinese,0.8126
289,Chinese,0.8962
290,Chinese,0.859
291,Chinese,0.8962
292,Chinese,0.9261
293,Chinese,0.8847
294,Chinese,0.8488
295,Chinese,0.8053
296,Chinese,0.9062
297,Chinese,0.8477
298,Chinese,0.8562
299,Chinese,0.8652
300,Chinese,0.9536
301,Chinese,0.9134
302,Chinese,0.8789
303,Chinese,0.92
304,Chinese,0.9215
305,Chinese,0.8743
306,Chinese,0.8253
307,Chinese,0.9196
308,Chinese,0.9026
309,Chinese,0.877
310,Chinese,0.9542
311,Chinese,0.9148
312,Chinese,0.8753
313,Chinese,0.8762
314,Chinese,0.8679
315,Chinese,0.8289
316,Chinese,0.9238
317,Chinese,0.9003
318,Chinese,0.8774
319,Chinese,0.8741
320,Chinese,0.8734
321,Chinese,0.917
