sentence_id,category,lang_a,lang_b,similarity
1,factual,English,Chinese,0.9104
1,factual,English,Japanese,0.8861
1,factual,English,Russian,0.9223
1,factual,Chinese,Japanese,0.9095
1,factual,Chinese,Russian,0.8934
1,factual,Japanese,Russian,0.8692
2,factual,English,Chinese,0.8942
2,factual,English,Japanese,0.9081
2,factual,English,Russian,0.9169
2,factual,Chinese,Japanese,0.9017
2,factual,Chinese,Russian,0.8917
2,factual,Japanese,Russian,0.9074
3,factual,English,Chinese,0.8945
3,factual,English,Japanese,0.9236
3,factual,English,Russian,0.9181
3,factual,Chinese,Japanese,0.9246
3,factual,Chinese,Russian,0.9031
3,factual,Japanese,Russian,0.908
4,factual,English,Chinese,0.9106
4,factual,English,Japanese,0.8863
4,factual,English,Russian,0.9203
4,factual,Chinese,Japanese,0.9049
4,factual,Chinese,Russian,0.8951
4,factual,Japanese,Russian,0.884
5,factual,English,Chinese,0.9014
5,factual,English,Japanese,0.9035
5,factual,English,Russian,0.9314
5,factual,Chinese,Japanese,0.9103
5,factual,Chinese,Russian,0.8863
5,factual,Japanese,Russian,0.8797
6,factual,English,Chinese,0.8973
6,factual,English,Japanese,0.8942
6,factual,English,Russian,0.9161
6,factual,Chinese,Japanese,0.9094
6,factual,Chinese,Russian,0.8842
6,factual,Japanese,Russian,0.881
7,factual,English,Chinese,0.8794
7,factual,English,Japanese,0.8698
7,factual,English,Russian,0.8803
7,factual,Chinese,Japanese,0.921
7,factual,Chinese,Russian,0.874
7,factual,Japanese,Russian,0.8558
8,factual,English,Chinese,0.8961
8,factual,English,Japanese,0.8775
8,factual,English,Russian,0.8719
8,factual,Chinese,Japanese,0.9059
8,factual,Chinese,Russian,0.856
8,factual,Japanese,Russian,0.8313
9,factual,English,Chinese,0.8946
9,factual,English,Japanese,0.8648
9,factual,English,Russian,0.9298
9,factual,Chinese,Japanese,0.922
9,factual,Chinese,Russian,0.8794
9,factual,Japanese,Russian,0.8638
10,factual,English,Chinese,0.8987
10,factual,English,Japanese,0.8876
10,factual,English,Russian,0.9432
10,factual,Chinese,Japanese,0.9344
10,factual,Chinese,Russian,0.9015
10,factual,Japanese,Russian,0.8909
11,mathematical,English,Chinese,0.8993
11,mathematical,English,Japanese,0.877
11,mathematical,English,Russian,0.9208
11,mathematical,Chinese,Japanese,0.8938
11,mathematical,Chinese,Russian,0.8903
11,mathematical,Japanese,Russian,0.8663
12,mathematical,English,Chinese,0.8901
12,mathematical,English,Japanese,0.8774
12,mathematical,English,Russian,0.9237
12,mathematical,Chinese,Japanese,0.9263
12,mathematical,Chinese,Russian,0.9057
12,mathematical,Japanese,Russian,0.8888
13,mathematical,English,Chinese,0.8707
13,mathematical,English,Japanese,0.8538
13,mathematical,English,Russian,0.865
13,mathematical,Chinese,Japanese,0.9361
13,mathematical,Chinese,Russian,0.853
13,mathematical,Japanese,Russian,0.8245
14,mathematical,English,Chinese,0.8719
14,mathematical,English,Japanese,0.8194
14,mathematical,English,Russian,0.8906
14,mathematical,Chinese,Japanese,0.8999
14,mathematical,Chinese,Russian,0.8539
14,mathematical,Japanese,Russian,0.8017
15,mathematical,English,Chinese,0.8526
15,mathematical,English,Japanese,0.8621
15,mathematical,English,Russian,0.8651
15,mathematical,Chinese,Japanese,0.9392
15,mathematical,Chinese,Russian,0.8713
15,mathematical,Japanese,Russian,0.8768
16,mathematical,English,Chinese,0.8715
16,mathematical,English,Japanese,0.8467
16,mathematical,English,Russian,0.9093
16,mathematical,Chinese,Japanese,0.9287
16,mathematical,Chinese,Russian,0.8572
16,mathematical,Japanese,Russian,0.8391
17,mathematical,English,Chinese,0.8877
17,mathematical,English,Japanese,0.8482
17,mathematical,English,Russian,0.8828
17,mathematical,Chinese,Japanese,0.8697
17,mathematical,Chinese,Russian,0.8592
17,mathematical,Japanese,Russian,0.8219
18,mathematical,English,Chinese,0.9161
18,mathematical,English,Japanese,0.8789
18,mathematical,English,Russian,0.902
18,mathematical,Chinese,Japanese,0.8943
18,mathematical,Chinese,Russian,0.8843
18,mathematical,Japanese,Russian,0.8436
19,mathematical,English,Chinese,0.8523
19,mathematical,English,Japanese,0.843
19,mathematical,English,Russian,0.9104
19,mathematical,Chinese,Japanese,0.8782
